doc_id,canonical_url,archive_url,wayback_timestamp,title,category,status,error,char_count
cb_help_0947ed93969e,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-european-customers,https://web.archive.org/web/20220926222522id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-european-customers,20220926222522,Payment methods for European customers | Coinbase Help,Getting Started,ok,,9278
cb_help_80b3c4529a01,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-singapore-customers,https://web.archive.org/web/20230531002934id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-singapore-customers,20230531002934,Payment methods for Singapore customers | Coinbase Help,Getting Started,ok,,801
cb_help_12dd713f1a16,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-uk-customers,https://web.archive.org/web/20230208225347id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-uk-customers,20230208225347,Payment methods for UK customers | Coinbase Help,Getting Started,ok,,5971
cb_help_60f8d1be9ccf,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-us-customers,https://web.archive.org/web/20220102044956id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-us-customers,20220102044956,Payment methods for US customers | Coinbase Help,Getting Started,ok,,10804
cb_help_e09cc1cc007a,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/paypal-faq,https://web.archive.org/web/20211218203613id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/paypal-faq,20211218203613,PayPal FAQ | Coinbase Help,Getting Started,ok,,3590
cb_help_28d3fe13459f,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/can-i-cancel-a-digital-currency-transaction,https://web.archive.org/web/20230531003221id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/can-i-cancel-a-digital-currency-transaction,20230531003221,Can I cancel a cryptocurrency transaction? | Coinbase Help,Getting Started,ok,,548
cb_help_9844f399fc9d,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/supported-cryptocurrencies,https://web.archive.org/web/20210617203337id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/supported-cryptocurrencies,20210617203337,Supported cryptocurrencies | Coinbase Help,Getting Started,ok,,3020
cb_help_0ef68299c199,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-a-bitcoin-wallet,https://web.archive.org/web/20230604043518id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-a-bitcoin-wallet,20230604043518,What is a Bitcoin wallet? | Coinbase Help,Getting Started,ok,,4584
cb_help_846be883ba68,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-a-transaction-hash-hash-id,https://web.archive.org/web/20220924234657id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-a-transaction-hash-hash-id,20220924234657,What is a transaction hash/hash ID? | Coinbase Help,Getting Started,ok,,951
cb_help_84724ce43e63,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-the-bitcoin-blockchain,https://web.archive.org/web/20230206120227id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/what-is-the-bitcoin-blockchain,20230206120227,What is the Bitcoin Blockchain? | Coinbase Help,Getting Started,ok,,2302
